Provider,Census_Tract_ID,State,Weight,Weight2,Technology,Download_Bandwidth_Mbps,Upload_Bandwidth_Mbps,Usage_Allowance_GB,Monthly_Charge,Other_Mandatory_Charge,Surcharge,Total_Charge,Total_Charge_Spread,Model_Data
"Knology Total Communications, Inc.",1,ALABAMA,1505.394006,852.003125,Fiber,300,20,Inf,40,0,0,40,0,Yes
"Knology Total Communications, Inc.",1,ALABAMA,1003.596004,852.003125,Fiber,1000,50,Inf,70,0,0,70,0,Yes
"Knology Total Communications, Inc.",1,ALABAMA,2007.192009,852.003125,Fiber,1000,1000,Inf,70,0,0,70,0,Yes
"Knology Total Communications, Inc.",1,ALABAMA,1505.394006,852.003125,Fiber,600,50,Inf,55,0,0,55,0,Yes
"Knology Total Communications, Inc.",1,ALABAMA,1505.394006,852.003125,Cable,600,50,Inf,55,0,0,55,0,Yes
"Knology Total Communications, Inc.",1,ALABAMA,1505.394006,852.003125,Cable,300,20,Inf,40,0,0,40,0,Yes
"Knology Total Communications, Inc.",1,ALABAMA,1003.596004,852.003125,Cable,1000,50,Inf,70,0,0,70,0,Yes
"Knology Total Communications, Inc.",1,ALABAMA,6021.576026,852.003125,Cable,1200,50,Inf,105,0,0,105,0,Yes
Mediacom Communications Corporation,2,ALABAMA,6021.576026,1136.004167,Cable,100,20,Inf,14.99,0,0,14.99,0,Yes
Mediacom Communications Corporation,2,ALABAMA,6021.576026,1136.004167,Cable,500,30,2000,99.99,0,0,99.99,0,Yes
Mediacom Communications Corporation,2,ALABAMA,6021.576026,1136.004167,Cable,2000,1000,Inf,179.99,0,0,179.99,0,Yes
Mediacom Communications Corporation,2,ALABAMA,6021.576026,1136.004167,Cable,1000,1000,Inf,154.99,0,0,154.99,0,Yes
Mediacom Communications Corporation,2,ALABAMA,6021.576026,1136.004167,Cable,250,20,400,49.99,0,0,49.99,0,Yes
Mediacom Communications Corporation,2,ALABAMA,6021.576026,1136.004167,Cable,1000,50,Inf,129.99,0,0,129.99,0,Yes
Mediacom Communications Corporation,3,ALABAMA,6021.576026,1136.004167,Cable,500,30,2000,99.99,0,0,99.99,0,Yes
Mediacom Communications Corporation,3,ALABAMA,6021.576026,1136.004167,Cable,2000,1000,Inf,179.99,0,0,179.99,0,Yes
Mediacom Communications Corporation,3,ALABAMA,6021.576026,1136.004167,Cable,1000,1000,Inf,154.99,0,0,154.99,0,Yes
Mediacom Communications Corporation,3,ALABAMA,6021.576026,1136.004167,Cable,1000,50,Inf,129.99,0,0,129.99,0,Yes
Mediacom Communications Corporation,3,ALABAMA,6021.576026,1136.004167,Cable,250,20,400,49.99,0,0,49.99,0,Yes
Mediacom Communications Corporation,3,ALABAMA,6021.576026,1136.004167,Cable,100,20,Inf,14.99,0,0,14.99,0,Yes
"Telepak Networks, Inc.",4,ALABAMA,6021.576026,1704.00625,Fiber,300,300,Inf,60,0,0,60,0,Yes
"Telepak Networks, Inc.",4,ALABAMA,6021.576026,1704.00625,Fiber,1950,1950,Inf,115,0,0,115,0,Yes
"Telepak Networks, Inc.",4,ALABAMA,6021.576026,1704.00625,Fiber,500,500,Inf,70,0,0,70,0,Yes
"Telepak Networks, Inc.",4,ALABAMA,6021.576026,1704.00625,Fiber,940,940,Inf,85,0,0,85,0,Yes
"Connect Holding, LLC",5,ALABAMA,6021.576026,6816.025,Fiber,940,940,Inf,79,0,0,79,0,Yes
"Cable One, Inc.",6,ALABAMA,6021.576026,1704.00625,Cable,300,20,5000,60,0,0,60,0,Yes
"Cable One, Inc.",6,ALABAMA,6021.576026,1704.00625,Cable,600,30,5000,70,0,0,70,0,Yes
"Cable One, Inc.",6,ALABAMA,6021.576026,1704.00625,Cable,940,50,5000,85,0,0,85,0,Yes
"Cable One, Inc.",6,ALABAMA,6021.576026,1704.00625,Cable,100,20,5000,55,0,0,55,0,Yes
"Knology Total Communications, Inc.",7,ALABAMA,6021.576026,852.003125,Cable,1200,50,Inf,105,0,0,105,0,Yes
"Knology Total Communications, Inc.",7,ALABAMA,1003.596004,852.003125,Cable,1000,50,Inf,70,0,0,70,0,Yes
"Knology Total Communications, Inc.",7,ALABAMA,1505.394006,852.003125,Cable,300,20,Inf,40,0,0,40,0,Yes
"Knology Total Communications, Inc.",7,ALABAMA,1505.394006,852.003125,Cable,600,50,Inf,55,0,0,55,0,Yes
"Knology Total Communications, Inc.",7,ALABAMA,1505.394006,852.003125,Fiber,300,20,Inf,40,0,0,40,0,Yes
"Knology Total Communications, Inc.",7,ALABAMA,1505.394006,852.003125,Fiber,600,50,Inf,55,0,0,55,0,Yes
"Knology Total Communications, Inc.",7,ALABAMA,1003.596004,852.003125,Fiber,1000,50,Inf,70,0,0,70,0,Yes
"Knology Total Communications, Inc.",7,ALABAMA,2007.192009,852.003125,Fiber,1000,1000,Inf,70,0,0,70,0,Yes
