customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7956-XQWGU,Male,false,false,false,27,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,true,Credit card (automatic),19.4,460.25,false
3374-PZLXD,Male,false,false,false,34,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,false,Mailed check,19.7,675.6,false
6124-ACRHJ,Female,false,false,false,1,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,false,Mailed check,19.75,19.75,false
4892-VLANZ,Male,false,false,false,1,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,false,Mailed check,19.8,19.8,true
3530-VWVGU,Female,false,true,true,22,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,false,Mailed check,19.9,400.3,false
3247-MHJKM,Male,false,false,false,1,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,false,Mailed check,20.2,20.2,false
9860-LISIZ,Female,false,false,false,34,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,false,Mailed check,20.35,673.2,false
9929-PLVPA,Female,false,false,true,4,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,false,Credit card (automatic),20.4,94.5,false
5049-GLYVG,Male,false,false,false,1,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,false,Mailed check,20.6,20.6,true
3012-VFFMN,Female,false,true,true,7,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,false,Mailed check,20.65,158.95,false
3530-CRZSB,Female,false,false,false,7,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,false,Mailed check,20.65,155.9,false
0547-HURJB,Male,false,false,true,12,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,false,Credit card (automatic),21.05,235.8,false
1334-FJSVR,Male,false,false,false,1,false,No phone service,DSL,No,No,No,No,No,No,Month-to-month,true,Electronic check,24.25,24.25,true
4592-IWTJI,Female,false,true,true,3,false,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,false,Credit card (automatic),29.7,91.7,true
4439-YRNVD,Female,false,false,false,10,false,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,false,Electronic check,36.25,374,false
6211-WHMYA,Female,true,false,false,64,false,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,true,Electronic check,43.85,2751,false
