tenure,seniorcitizen,arpu,service_type_dsl,service_type_fiber,service_type_none,contract_Month-to-month,contract_One year,contract_Two year,loyalty_tier_New,loyalty_tier_Established,loyalty_tier_Loyal,loyalty_tier_Very Loyal,discount_level_Low,discount_level_Medium,discount_level_High
27,False,0.0,False,False,True,True,False,False,False,True,False,False,False,False,False
34,False,0.0,False,False,True,True,False,False,False,True,False,False,False,False,False
1,False,0.0,False,False,True,True,False,False,True,False,False,False,False,False,False
1,False,0.0,False,False,True,True,False,False,True,False,False,False,False,False,False
22,False,0.0,False,False,True,True,False,False,False,True,False,False,False,False,False
1,False,0.0,False,False,True,True,False,False,True,False,False,False,False,False,False
34,False,0.0,False,False,True,True,False,False,False,True,False,False,False,False,False
4,False,0.0,False,False,True,True,False,False,True,False,False,False,False,False,False
1,False,0.0,False,False,True,True,False,False,True,False,False,False,False,False,False
7,False,0.0,False,False,True,True,False,False,True,False,False,False,False,False,False
7,False,0.0,False,False,True,True,False,False,True,False,False,False,False,False,False
12,False,0.0,False,False,True,True,False,False,True,False,False,False,False,False,False
1,False,24.25,True,False,False,True,False,False,True,False,False,False,True,False,False
3,False,29.7,True,False,False,True,False,False,True,False,False,False,True,False,False
10,False,36.25,True,False,False,True,False,False,True,False,False,False,True,False,False
64,True,43.85,True,False,False,True,False,False,False,False,False,True,True,False,False
1,False,43.95,True,False,False,True,False,False,True,False,False,False,True,False,False
7,True,45.75,True,False,False,True,False,False,True,False,False,False,True,False,False
2,False,45.85,True,False,False,True,False,False,True,False,False,False,True,False,False
1,False,48.55,True,False,False,True,False,False,True,False,False,False,True,False,False
2,False,49.25,True,False,False,True,False,False,True,False,False,False,True,False,False
1,False,49.75,True,False,False,True,False,False,True,False,False,False,True,False,False
44,False,50.15,True,False,False,True,False,False,False,False,True,False,True,False,False
1,False,50.65,True,False,False,True,False,False,True,False,False,False,True,False,False
13,False,52.1,True,False,False,True,False,False,False,True,False,False,True,False,False
2,False,54.4,True,False,False,True,False,False,True,False,False,False,True,False,False
37,False,55.05,True,False,False,True,False,False,False,False,True,False,True,False,False
65,False,55.15,True,False,False,True,False,False,False,False,False,True,True,False,False
39,False,55.9,True,False,False,True,False,False,False,False,True,False,True,False,False
25,False,58.6,True,False,False,True,False,False,False,True,False,False,True,False,False
3,False,58.7,True,False,False,True,False,False,True,False,False,False,True,False,False
21,True,60.05,True,False,False,True,False,False,False,True,False,False,True,False,False
60,False,60.2,True,False,False,True,False,False,False,False,True,False,True,False,False
17,False,65.75,True,False,False,True,False,False,False,True,False,False,True,False,False
66,False,67.45,True,False,False,True,False,False,False,False,False,True,True,False,False
7,False,69.0,False,True,False,True,False,False,True,False,False,False,True,False,False
22,True,69.75,True,False,False,True,False,False,False,True,False,False,True,False,False
2,False,70.35,False,True,False,True,False,False,True,False,False,False,True,False,False
9,False,70.5,False,True,False,True,False,False,True,False,False,False,True,False,False
2,True,72.6,False,True,False,True,False,False,True,False,False,False,True,False,False
10,True,72.85,False,True,False,True,False,False,True,False,False,False,True,False,False
4,True,74.95,False,True,False,True,False,False,True,False,False,False,True,False,False
27,True,75.5,False,True,False,True,False,False,False,True,False,False,True,False,False
1,False,73.94383893762183,True,False,False,True,False,False,True,False,False,False,True,False,False
9,False,75.6,False,True,False,True,False,False,True,False,False,False,True,False,False
25,False,73.94383893762183,True,False,False,True,False,False,False,True,False,False,True,False,False
37,True,76.5,False,True,False,True,False,False,False,False,True,False,True,False,False
28,False,76.55,False,True,False,True,False,False,False,True,False,False,True,False,False
12,False,78.1,False,True,False,True,False,False,True,False,False,False,True,False,False
26,True,78.8,False,True,False,True,False,False,False,True,False,False,True,False,False
23,True,79.35,False,True,False,True,False,False,False,True,False,False,True,False,False
26,False,80.5,False,True,False,True,False,False,False,True,False,False,True,False,False
13,False,81.15,False,True,False,True,False,False,False,True,False,False,True,False,False
26,False,83.75,False,True,False,True,False,False,False,True,False,False,True,False,False
3,True,83.9,False,True,False,True,False,False,True,False,False,False,True,False,False
69,True,84.9,False,True,False,True,False,False,False,False,False,True,True,False,False
5,False,85.3,False,True,False,True,False,False,True,False,False,False,True,False,False
2,True,85.55,False,True,False,True,False,False,True,False,False,False,True,False,False
2,False,85.85,False,True,False,True,False,False,True,False,False,False,True,False,False
25,False,85.9,False,True,False,True,False,False,False,True,False,False,True,False,False
25,False,89.15,False,True,False,True,False,False,False,True,False,False,True,False,False
45,False,89.3,False,True,False,True,False,False,False,False,True,False,True,False,False
10,False,89.5,False,True,False,True,False,False,True,False,False,False,True,False,False
4,False,89.6,False,True,False,True,False,False,True,False,False,False,True,False,False
5,True,89.8,False,True,False,True,False,False,True,False,False,False,True,False,False
26,False,89.8,False,True,False,True,False,False,False,True,False,False,True,False,False
30,True,90.05,False,True,False,True,False,False,False,True,False,False,True,False,False
11,False,90.6,False,True,False,True,False,False,True,False,False,False,True,False,False
67,True,94.65,False,True,False,True,False,False,False,False,False,True,True,False,False
25,False,95.9,False,True,False,True,False,False,False,True,False,False,True,False,False
15,True,96.3,False,True,False,True,False,False,False,True,False,False,True,False,False
26,False,98.35,False,True,False,True,False,False,False,True,False,False,True,False,False
8,False,99.65,False,True,False,True,False,False,True,False,False,False,True,False,False
47,True,100.05,False,True,False,True,False,False,False,False,True,False,True,False,False
