Provider,State,Weight,Technology,Download Bandwidth Mbps,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread,Model Data
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,1000,50,Inf,79.99,0,1,80.99,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,158920.8063,Cable,1200,200,1229,122,0,0,122,0,Yes
BellSouth Telecommunications Inc,ALABAMA,29618.84846,DSL,25,5,1024,70,0,0,70,0,Yes
Mediacom Southeast LLC,ALABAMA,7300.073718,Cable,25,3,Inf,14.95,0,0,14.95,0,Yes
"Knology Total Communications, Inc.",ALABAMA,10304.175,Fiber,1000,1000,Inf,99,0,1,100,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,100,10,Inf,44.99,0,1,45.99,0,Yes
Mediacom Southeast LLC,ALABAMA,7300.073718,Cable,1000,50,3000,109.99,0,0,109.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,500,50,Inf,59.99,0,1,60.99,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,158920.8063,Cable,1000,100,1229,112,0,0,112,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,500,50,Inf,59.99,0,1,60.99,0,Yes
Mediacom Southeast LLC,ALABAMA,7300.073718,Cable,300,20,1500,89.99,0,0,89.99,0,Yes
"Cable One, Inc.",ALABAMA,7300.073718,Cable,940,50,5000,85,0,0,85,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
Mediacom Southeast LLC,ALABAMA,7300.073718,Cable,100,10,300,34.99,0,0,34.99,0,Yes
Mediacom Southeast LLC,ALABAMA,7300.073718,Cable,100,5,Inf,30,0,0,30,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,158920.8063,Cable,800,20,1229,102,0,0,102,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,158920.8063,Cable,1000,20,1229,112,0,0,112,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,100,10,Inf,44.99,0,1,45.99,0,Yes
"Cable One, Inc.",ALABAMA,7300.073718,Cable,600,30,5000,75,0,0,75,0,Yes
BellSouth Telecommunications Inc,ALABAMA,148094.2423,Fiber,1000,1000,Inf,85,0,0,85,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,1000,50,Inf,79.99,0,1,80.99,0,Yes
Mediacom Southeast LLC,ALABAMA,7300.073718,Cable,100,10,300,34.99,0,0,34.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,10304.175,Fiber,1000,1000,Inf,99,0,1,100,0,Yes
"R.M.Greene,Inc.",ALABAMA,7300.073718,Cable,35000,3500,Inf,60,0,0,60,0,Yes
Mediacom Southeast LLC,ALABAMA,7300.073718,Cable,300,20,1500,89.99,0,0,89.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
BellSouth Telecommunications Inc,ALABAMA,29618.84846,DSL,10,1,1024,70,0,0,70,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,10304.175,Fiber,1000,1000,Inf,99,0,1,100,0,Yes
BellSouth Telecommunications Inc,ALABAMA,29618.84846,DSL,100,20,Inf,70,0,0,70,0,Yes
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,10304.175,Fiber,1000,1000,Inf,99,0,1,100,0,Yes
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Fiber,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,50,5,Inf,24.99,0,1,25.99,0,Yes
Mediacom Southeast LLC,ALABAMA,7300.073718,Cable,25,3,Inf,14.95,0,0,14.95,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,200,10,Inf,49.99,0,1,50.99,0,Yes
BellSouth Telecommunications Inc,ALABAMA,29618.84846,DSL,25,5,1024,70,0,0,70,0,Yes
BellSouth Telecommunications Inc,ALABAMA,29618.84846,DSL,100,20,Inf,70,0,0,70,0,Yes
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Cable One, Inc.",ALABAMA,7300.073718,Cable,300,20,5000,65,0,0,65,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,317841.6125,Cable,2000,200,1229,130,0,0,130,0,Yes
"Cable One, Inc.",ALABAMA,7300.073718,Cable,300,20,5000,65,0,0,65,0,Yes
"Cable One, Inc.",ALABAMA,7300.073718,Cable,600,30,5000,75,0,0,75,0,Yes
Mediacom Southeast LLC,ALABAMA,7300.073718,Cable,100,5,Inf,30,0,0,30,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,158920.8063,Cable,800,100,1229,102,0,0,102,0,Yes
"Charter Communications, Inc.",ALABAMA,260531.3,Cable,300,10,Inf,79.99,0,0,79.99,0,Yes
BellSouth Telecommunications Inc,ALABAMA,148094.2423,Fiber,1000,1000,Inf,85,0,0,85,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Fiber,500,50,Inf,59.99,0,1,60.99,0,Yes
"Charter Communications, Inc.",ALABAMA,260531.3,Cable,500,20,Inf,99.99,0,0,99.99,0,Yes
BellSouth Telecommunications Inc,ALABAMA,148094.2423,Fiber,1000,1000,Inf,85,0,0,85,0,Yes
"Cable One, Inc.",ALABAMA,7300.073718,Cable,940,50,5000,85,0,0,85,0,Yes
"Knology Total Communications, Inc.",ALABAMA,10304.175,Fiber,1000,1000,Inf,99,0,1,100,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,2576.04375,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",ALABAMA,2576.04375,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",ALABAMA,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
