"customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","segment_type","base_plan","technology","monthly_charge","promo_discount","arpu","churn_risk_score"
"7590-VHVEG","Female",0,"Yes","No",1,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",29.85,29.85,"No","Consumer","Plus","Cable",57.95,0,57.95,0.181928848975804
"5575-GNVDE","Male",0,"No","No",34,"Yes","No","DSL","Yes","No","Yes","No","No","No","One year","No","Mailed check",56.95,1889.5,"No","Consumer","Plus","Cable",57.95,0,57.95,0.119371031189803
"3668-QPYBK","Male",0,"No","No",2,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",53.85,108.15,"Yes","Consumer","Plus","Cable",57.95,0,57.95,0.673011916875839
"7795-CFOCW","Male",0,"No","No",45,"No","No phone service","DSL","Yes","No","Yes","Yes","No","No","One year","No","Bank transfer (automatic)",42.3,1840.75,"No","Consumer","Premium","Fiber",70,0,70,0.267957899265457
"9237-HQITU","Female",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.7,151.65,"Yes","SMB","Basic","Cable",24.95,0,24.95,0.841571747604758
"9305-CDSKC","Female",0,"No","No",8,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.65,820.5,"Yes","SMB","Basic","Cable",24.95,0,24.95,0.711039366479963
"1452-KIOVK","Male",0,"No","Yes",22,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",89.1,1949.4,"No","SMB","Plus","Cable",57.95,0,57.95,0.0943710151594132
"6713-OKOMC","Female",0,"No","No",10,"No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",29.75,301.9,"No","Consumer","Premium","Fiber",70,0,70,0.208988864452112
"7892-POOKP","Female",0,"Yes","No",28,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.8,3046.05,"Yes","Enterprise","Basic","Cable",24.95,0,24.95,0.89647168237716
"6388-TABGU","Male",0,"No","Yes",62,"Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Bank transfer (automatic)",56.15,3487.95,"No","Enterprise","Premium","Fiber",70,0,70,0.174840717704501
"9763-GRSKD","Male",0,"Yes","Yes",13,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",49.95,587.45,"No","Consumer","Plus","Cable",57.95,0,57.95,0.0877197945490479
"7469-LKBCI","Male",0,"No","No",16,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",18.95,326.8,"No","Consumer","Plus","Cable",57.95,0,57.95,0.0900069065508433
"8091-TTVAX","Male",0,"Yes","No",58,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",100.35,5681.1,"No","SMB","Premium","Fiber",70,0,70,0.142495758086443
"0280-XJGEX","Male",0,"No","No",49,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.7,5036.3,"Yes","SMB","Plus","Cable",57.95,0,57.95,0.74042630949989
"5129-JLPIS","Male",0,"No","No",25,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",105.5,2686.05,"No","SMB","Plus","Cable",57.95,0,57.95,0.258189178083558
"3655-SNQYZ","Female",0,"Yes","Yes",69,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",113.25,7895.15,"No","Enterprise","Plus","Cable",57.95,0,57.95,0.26077647729544
"8191-XWSZG","Female",0,"No","No",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.65,1022.95,"No","Enterprise","Basic","Cable",24.95,0,24.95,0.117502820049413
"9959-WOFKT","Male",0,"No","Yes",71,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",106.7,7382.25,"No","Consumer","Premium","Fiber",70,0,70,0.188567891146522
"4190-MFLUW","Female",0,"Yes","Yes",10,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",55.2,528.35,"Yes","Consumer","Premium","Fiber",70,0,70,0.569895880948752
"4183-MYFRB","Female",0,"No","No",21,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",90.05,1862.9,"No","Enterprise","Plus","Cable",57.95,0,57.95,0.171339256817009
"8779-QRDMV","Male",1,"No","No",1,"No","No phone service","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",39.65,39.65,"Yes","Consumer","Plus","Cable",57.95,0,57.95,0.834260484017432
"1680-VDCWW","Male",0,"Yes","No",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",19.8,202.25,"No","Enterprise","Basic","Cable",24.95,0,24.95,0.208785647596233
"1066-JKSGK","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.15,20.15,"Yes","Consumer","Basic","Cable",24.95,0,24.95,0.522239615209401
"3638-WEABW","Female",0,"Yes","No",58,"Yes","Yes","DSL","No","Yes","No","Yes","No","No","Two year","Yes","Credit card (automatic)",59.9,3505.1,"No","Consumer","Premium","Fiber",70,0,70,0.21448121931171
"6322-HRPFA","Male",0,"Yes","Yes",49,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",59.6,2970.3,"No","SMB","Basic","Cable",24.95,0,24.95,0.146123323310167
"6865-JZNKO","Female",0,"No","No",30,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",55.3,1530.6,"No","Enterprise","Premium","Fiber",70,0,70,0.286876366310753
"6467-CHFZW","Male",0,"Yes","Yes",47,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.35,4749.15,"Yes","SMB","Basic","Cable",24.95,0,24.95,0.570720219053328
"8665-UTDHZ","Male",0,"Yes","Yes",1,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",30.2,30.2,"Yes","Consumer","Premium","Fiber",70,0,70,0.745190766360611
"5248-YGIJN","Male",0,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",90.25,6369.45,"No","SMB","Plus","Cable",57.95,0,57.95,0.258833050914109
"8773-HHUOZ","Female",0,"No","Yes",17,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",64.7,1093.1,"Yes","SMB","Premium","Fiber",70,0,70,0.730748605448753
"3841-NFECX","Female",1,"Yes","No",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",96.35,6766.95,"No","Enterprise","Plus","Cable",57.95,0,57.95,0.0928237808519043
"4929-XIHVW","Male",1,"Yes","No",2,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",95.5,181.65,"No","Enterprise","Premium","Fiber",70,0,70,0.153899143519811
"6827-IEAUQ","Female",0,"Yes","Yes",27,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Mailed check",66.15,1874.45,"No","SMB","Basic","Cable",24.95,0,24.95,0.243404717021622
"7310-EGVHZ","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",20.2,20.2,"No","SMB","Plus","Cable",57.95,0,57.95,0.114810977200978
"3413-BMNZE","Male",1,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",45.25,45.25,"No","SMB","Basic","Cable",24.95,0,24.95,0.115723542880733
"6234-RAAPL","Female",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","No","Bank transfer (automatic)",99.9,7251.7,"No","SMB","Premium","Fiber",70,0,70,0.1504216374713
"6047-YHPVI","Male",0,"No","No",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.7,316.9,"Yes","Consumer","Basic","Cable",24.95,0,24.95,0.689366632327437
